imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote
tt1893818,1921(English),1921,2018,2018-01-12,"Horror, Mystery, Romance",144,India,English,Vikram Bhatt,"Vikram Bhatt, Esha Desai",DMP Films,"Zareen Khan, Karan Kundrra, Vikram Bhatt, Angela Krislinzki, Nidhi Chitrakar, Aradhya Taing, Neil Broome, Rachel Shaw, David Turner, Wayne McAulay, Jazz Gee, Toby Hinson, Shane Harper, Michael Edwards, Grace Hendy","In 1920s England, a pianist enlists the help of a ghost whisperer to cleanse the unclean spirit that is haunting him.",4.5,990,,,$ 26710,,14.0,8.0,4.5
tt6958152,One,One,2017,2017-04-14,"Drama, Thriller",148,India,Bengali,Birsa Dasgupta,Abhimanyu Mukherjee,SVF Entertainment Pvt. Ltd.,"Krishnendu Adhikari, Prasenjit Chatterjee, Yash Dasgupta, Nusrat Jahan, Anil Kuriakose, Rachel White","Story of an honest police officer Ronojoy Bose (Yash Dasgupta) in his crusade to cleanse society of corruption, and thus begins the cat & mouse chase and mind game between Ronojoy and the ...",6.0,233,,,,,,,6.0
tt6967980,Bareilly Ki Barfi,Bareilly Ki Barfi,2017,2017-08-18,"Comedy, Romance",116,India,Hindi,Ashwiny Iyer Tiwari,"Bareilly Ki Barfi, Shreyas Jain",B.R. Studios,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Rohit Choudhary, Swati Semwal, Javed Akhtar, Seema Bhargava, Rohit Chaudhary, Naila Grewal, Sapna Sand, Vivek Yadav","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",7.5,18115,,,$ 129454,,101.0,25.0,7.5
tt6971752,Shubh Mangal Saavdhan,Shubh Mangal Saavdhan,2017,2017-09-01,"Comedy, Romance",119,India,Hindi,R.S. Prasanna,"R.S. Prasanna, Hitesh Kewalya",Colour Yellow Productions,"Ayushmann Khurrana, Bhumi Pednekar, Seema Bhargava, Anshul Chauhan, Brijendra Kala, Jimmy Sheirgill, Anmol Bajaj, Deepak Arora, Flora Bose, Rahul Chauhan, Gopal Dutt, Sagar Nath Jha, Ankit Kukreti, Komal Sachdeva, Ayush Sehgal",In this remake of,6.9,8417,,$ 689874,$ 1188541,,43.0,18.0,6.9
tt6972140,Blackmail,Blackmail,2018,2018-04-06,"Comedy, Thriller",138,India,Hindi,Abhinay Deo,"Parveez Sheikh, Pradhuman Singh",RDP Motion Pictures,"Irrfan Khan, Alfredo Tavares, Kirti Kulhari, Urmila Matondkar, Divya Dutta, Arunoday Singh, Omi Vaidya, Gajraj Rao, Anuja Sathe, Neelima Azim, Atul Kale, Pradhuman Singh, Anjali Ujawane, Pravina Bhagwat Deshpande, Vibha Chhibber","When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge.",7.1,8829,,,$ 296860,,62.0,14.0,7.1
tt6972212,Next Enti?,Next Enti?,2018,2018-12-07,"Comedy, Drama, Romance",122,India,Telugu,Kunal Kohli,"Dinesh Divani, Kishore Gopu",Simply South Entertainment,"Sundeep Kishan, Tamannaah Bhatia, Poonam Kaur, Sarath Babu, Navdeep, Larissa Bonesi, Venkat Mikkilineni, Claire Ashton, Pamela Cook, Kristine Fernandez, Nisha George, Peter Jay, Shabnam Karimzada, Zsanett Kiss, Jamie Langlands",A girl with a complicated mind fall in love with a boy who have open feelings for her.,4.5,132,,,,,4.0,2.0,4.5
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,2017-05-19,Romance,136,India,Bengali,Rabi Kinagi,,ODU Movies,"Sayantika Banerjee, Ashim Roy Chowdhury, Ankush Hazra, Nusrat Jahan, Bharat Kaul, Joy Mukherjee, Laboni Sarkar, Reshmi Sen","Ankush plays in this film a young millionaire with a heart of gold. He successfully runs in the business of resorts. His life is anchored by his best friend and business associate, Prachi. ...",5.0,134,,,,,1.0,,5.0
tt6978268,Omerta,Omerta,2017,2018-05-04,"Action, Biography, Crime",98,India,Hindi,Hansal Mehta,"Mukul Dev, Hansal Mehta",Karma Media And Entertainment,"Rajkummar Rao, Rajesh Tailang, Satwant Kaur, Blake Allan, Keval Arora, Sanjiv Chopra, Rahul Dhir, Nisha George, Asif Gillani, Timothy Ryan Hickernell, Tareeq Ahmed Khan, Ravi Khanna, Rupinder Nagra, Jimesh Patel, Harmeet Sawhney","A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.",7.2,2147,,,,,51.0,19.0,7.2
tt6978954,Pal Pal Dil Ke Paas,Pal Pal Dil Ke Paas,2019,2019-09-20,"Action, Drama, Romance",154,India,Hindi,Sunny Deol,"Jasvinder Bath, Ravi Shankaran",Sunny Sounds,"Karan Deol, Sahher Bambba, Kallirroi Tziafeta, Swarit Sur, Suresh Sur, Ritika Thakur, Kapil Negi, Mahesh Pillai, Diksha Bahl, Anuradha Kalia, Gs Arora, Lotty Allaric, Arsh Wahi, Nupur Nagpal, Sushant Mohindru","When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal, sparks are bound to fly. But will their love story blossom despite the odds?",4.6,924,,,$ 48147,,68.0,5.0,4.6
tt1578896,Bharat Ane Nenu(Telugu),Bharat Ane Nenu,2018,2018-04-20,"Action, Drama",173,India,Telugu,Koratala Siva,"Srihari Nanu, Koratala Siva",DVV Entertainment,"Mahesh Babu, Kiara Advani, Prakash Raj, Sarath Kumar, Devaraj, Rajsekhar Aningi, Aamani, Sithara, Saakshi Sivaa, Anish Kuruvilla, Kadambari Kiran, Jayalalitha, Mukhtar Khan, Jayavani, Jeeva","Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",7.7,15116,,$ 2663090,$ 3276257,,143.0,22.0,7.7
